,titulo,subtitulo,cuerpo,publicacion,actualizacion,url
24, Universitario y Cristal empataron 2-2 en un vibrante partido por la Fase 2 de la Liga 1 ,Cremas y celestes dividieron honores en un partido de alta intensidad disputado el viernes en el Estadio Nacional de Lima. ,"Conforme a los criterios deCon este resultado, Cristal se mantiene como líder del Grupo A con 19 unidades, mientras que la ‘U’ sumó ocho puntos y ocupa la sexta casilla de dicha serie. En la siguiente jornada, los rimenses visitarán a UTC, mientras que los merengues serán locales contra Carlos Stein. A los 72′, Cristal marcó el empate definitivo gracias al joven jugador Percy Liza, quien anotó su primer gol como futbolista profesional. Sin embargo, la alegría no le duró mucho a los pupilos de Ángel Comizzo, pues Horacio Calcaterra puso el 1-1 parcial a los 32′.  Ni bien comenzó el segundo tiempo, el zaguero Aldo Corzo puso el 2-1 para la ‘U’ con un disparo de cabeza que dejó sin opciones al golero rimense. Este partido marcó el regreso del atacante uruguayo Jonathan Dos Santos al once titular del conjunto merengue, después de un mes de ausencia debido a una lesión. Precisamente el ariete oriental abrió la cuenta para la ‘U’ a los 23 minutos.Universitario de Deportes y Sporting Cristal igualaron 2-2 en un intenso partido disputado el viernes en el Estadio Nacional, válido por la fecha 7 de la Fase 2 de la Liga 1.",2020-11-20T19:02:18-05:00,Actualizado el 20/11/2020 a las 19:02 ,https://elcomercio.pe/respuestas/universitario-vs-cristal-en-vivo-fecha-horarios-y-canales-de-tv-para-ver-el-partido-por-la-liga-1-fase-2-alineaciones-video-resumen-goles-revtli-noticia/
25, Estos son los estados en donde Donald Trump ha presentado demandas,El expresidente de Estados Unidos se niega a perder la elección contra Joe Biden y recurre a su equipo legal para atrincherarse en los tribunales y pedir recuentos e invalidar votos por correo. Aquí todos los detalles.,"Conforme a los criterios deY agregó: “Mi conjetura sería que al concentrarse en Dane y Milwaukee el resultado final será que Biden tendrá un ligero aumento de votos, pero nada terriblemente significativo, ciertamente nada que se acerque a lo que se requeriría para cambiar los resultados”.La agencia Reuters citó a Scott McDonell, secretario del condado Dane, quien señaló que el recuento no demoraría mucho.Así que han pedido hacerlo en los estados de Milwaukee y Dane, de mayoría democrática. “Fueron seleccionados porque son los lugares con las peores irregularidades”, se leyó en un comunicado.Según “ABC News”, en dicho estado, quien ocupa el segundo lugar puede pedir un recuento si es que pierde por menos del 1% de los votos.Tras conocerse que Biden había ganado con más de 20 mil votos, Trump y sus abogados anunciaron que quería un recuento parcial.WISCONSINWe withdrew because we won! https://t.co/aMoNQXEj4zAun así, ya era muy tarde. Así que a Trump no le quedó más que tuitear:Luego, los abogados del expresidente anunciaron que demandarían al estado para que no certifique la victoria de Biden “hasta que se verifiquen que los cotos se emitieron legalmente”. Hasta la semana pasada, “El Confidencial” anotó que esta no se había presentado.Las demandas intentaron detener el recuento de votos, alegando que los observadores no habían podido vigilar el escrutinio de los votos por correo. Pero no se presentaron pruebas, así que fueron desestimadas.MICHIGANY anunciaron que también cuestionarían el voto de miles de personas que ya no viven en el Estado, situación común si se tiene en cuenta a los universitarios y militares.Una de las demandas de Trump fue porque no los republicanos no pudieron observar adecuadamente el escrutinio; otra, en el condado Clark, cuestionó la legitimidad de las máquinas que verificaba las firmas de tres mil votantes. Ambas fueron desestimadas.Otro estado que dio por ganador a Joe Biden (49.9% contra 47.9%).NEVADAEn ese sentido, él reclama ser declarado ganador o que la legislatura estatal se encargué de otorgar los votos electorales.“Univisión” anota que, ante la derrota en el tribunal, Trump cambió su demanda. Ahora, él denuncia que hay 1.5 millones de votos en ausencia que no debieron ser contados y que “los votos en disputa dieron como resultado ‘devoluciones que indican que Biden ganó Pensilvania’”.Baldi señaló: “No hay nada en el expediente y nada alegado que pudiera conducir a la conclusión de que cualquiera de las boletas impugnadas fue presentada por alguien que no estaba calificado o con derecho a votar en esta elección”.Según “CNN”, en este estado no se ha manejado la tesis de fraude, sino que las demandas apuntan a eliminar votos porque llegaron fuera del límite. “[Se] cuestionó 2.177 papeletas en el condado Bucks que estaban en un sobre de privacidad abierto o que no tenían fechas, nombres o direcciones escritas a mano en sus sobre exteriores”, recordó el medio.Trump ha intentado que los votos en ausencia no sean considerados, pero el juez Robert Baldi se ha opuesto tajantemente a privar el derecho a los electores.PENSILVANIAHay que tener en consideración, también, que los abogados de Trump retiraron una demanda “que solicitaba revisar todas las papeletas” porque la diferencia con Biden era insuperable.A ello habría que sumarle que, tal como recoge “CNN”, el juez John Hannah desestimó una demanda de una “orden judicial que impidiera que el condado de Maricopa certificara sus resultados electorales”.Los resultados también favorecen a Biden, el primer demócrata desde Bill Clinton en ganar en ese estado.ARIZONA“Al igual que otros republicanos estoy decepcionado, nuestro candidato no ganó los votos electorales de Georgia. [...] Yo vivo con el lema de que los números no mienten. Como secretario de Estado creo que los números que presentamos hoy son correctos”.Hoy, el secretario de estado, el republicano Brad Raffensperger, declaró en favor de la victoria de Biden:En todo caso, valdría recordar que los abogados del expresidente intentaron descalificar 53 papeletas basándose en que “un presunto observador electoral republicano que reportó haber visto votos que habrían llegado después del límite temporal legal habían sido mezclados con los votos que llegaron a tiempo”, según “El Confidencial”.Eso no afectaría a los resultados.Por su lado, Trump tuiteó que las elecciones eran fraudulentas y que se habían encontrado cerca de 6 mil papeletas de condados de mayoría republicana.Ayer, y luego del recuento manual, se confirmó que Joe Biden había ganado las elecciones. Se trata del primer demócrata que gana allí en casi tres décadas.GEORGIAA continuación, se repasarán algunos de los estados en los que Trump ha interpuesto alguna demanda.Aun así, el mensaje le está beneficiando porque, según una encuesta de Reuters/Ipsos, la mitad de los republicanos lo creen.El abogado que se enfrenta a los recursos de Trump en Pensilvania, señaló a “NBC”: “Siguen hablando de fraude, pero eso no se ve en las demandas y [ellos mismos] lo han reconocido”.Pero hay algo en lo que estas demandas están fallando: probar el fraude.Ginsberg se refiere a lo siguiente: la estrategia consiste en que existan dudas suficientes como los recuentos de votos para que algunos jueces “impidan que los estados certifiquen la elección”. Luego de eso, sería el turno de las legislaturas estatales (dominadas por republicanos) quienes tomarían la decisión por su cuenta.“Sospecho que el sueño de Trump es forzar todos esos asuntos que nunca antes se han litigado ante la Corte Suprema”, señaló al medio el abogado republicano Ben Ginsberg.A ello se le podría sumar que “CNN” ha calificado estas maniobras legales como “cada vez más salvajes sin reclamos creíbles, con probabilidades muy remotas y con pocos precedentes”.Hasta el momento, los resultados no lo acompañan. Según un informe de la “NBC”, 19 de las demandas fueron denegadas, rechazadas, resueltas o desestimadas. A ello se le suma que, por lo menos en tres casos, no se presentaron evidencias que justificaran los reclamos.Trump no se va a rendir fácilmente, y mientras disputa los resultados de la elección que lo enfrentó a Joe Biden, se niega a abandonar la Casa Blanca.Las noticias son cada vez más desfavorables para el expresidente de Estados Unidos, Donald Trump, pero este se niega a soltar el poder. Así lo prueban las más de 30 demandas que sus abogados han puesto en seis ‘swing states’.",2020-11-20T19:00:56-05:00,Actualizado el 20/11/2020 a las 19:00 ,https://elcomercio.pe/mundo/eeuu/joe-biden-gana-las-elecciones-de-estados-unidos-eeuu-usa-estos-son-los-estados-en-donde-donald-trump-presento-demandas-noticia/
26," Contraer el COVID-19 crea inmunidad durante al menos seis meses, según estudio ","Los resultados de esta investigación, aún no revisada por pares, muestra que los casos de reinfección siguen siendo relativamente pocos","Síguenos en Twitter:Conforme a los criterios deSin embargo, su estudio tiene como objetivo final verificar cuánto tiempo dura en total la inmunidad.¿Y qué ocurre más allá de los seis meses? Los investigadores de Oxford precisaron no haber reunido aún suficientes datos para emitir un juicio al respecto.Estos resultados contradicen sin embargo los de otro estudio británico, publicado en octubre por el Imperial College London y el instituto Ipsos Mori, según el cual la inmunidad adquirida por las personas recuperadas del coronavirus disminuye “con bastante rapidez”, en particular en los pacientes asintomáticos, y podía durar sólo unos pocos meses.Ninguno de los 1.246 empleados con anticuerpos desarrolló una infección sintomática y solo tres, sin síntomas, dieron positivo al virus por segunda vez.El estudio se basó en tests de coronavirus realizados regularmente a 12.180 trabajadores sanitarios de los hospitales universitarios de Oxford durante un período de 30 semanas.Son “muy buenas noticias”, afirmó el profesor David Eyre, uno de los autores de la investigación. “Podemos estar seguros de que, al menos a corto plazo, la mayoría de las personas que contraen el COVID-19 no lo volverán a contraer”, afirmó.Sus resultados confirman una observación hecha por muchos profesionales sanitarios de que mientras 51 millones de personas en todo el mundo han sido infectadas con el coronavirus, los casos de reinfección siguen siendo relativamente pocos.Esta investigación a gran escala sobre la inmunidad ante un nuevo contagio de COVID-19, realizada en colaboración con los Hospitales Universitarios de Oxford, aún no ha sido aún revisada de forma independiente.Un estudio publicado el viernes por la Universidad de Oxford asegura que las personas infectadas con el coronavirus tienen pocas posibilidades de volver a contraer la enfermedad en al menos seis meses.",2020-11-20T19:00:00-05:00,Actualizado el 20/11/2020 a las 19:00 ,https://elcomercio.pe/tecnologia/ciencias/contraer-el-covid-19-crea-inmunidad-durante-al-menos-seis-meses-segun-estudio-noticia/
27, Nicki Minaj tendrá una serie documental en HBO Max,Esta producción contará con seis episodios de media hora de duración que narrará su carrera en el mundo de la música.,"Por su parte, Apple tampoco quiere desaprovechar la tendencia y estrenará en febrero de 2021 “Billie Eilish: The World”s a Little Blurry”, sobre la vida de Billie Eilish, quien a sus 18 años hizo historia este 2020 al convertirse en la artista más joven que gana las cuatro categorías principales de los prestigiosos Grammy.Este año la plataforma lanzó “Miss Americana” sobre Taylor Swift y en 2017 hizo lo mismo con “Five Foot Two”, el retrato audiovisual de Lady Gaga. Aunque quizás el más publicitado fue “Homecoming: A Film by Beyoncé”, con la emblemática actuación de Beyoncé en el Festival de Coachella de 2018.HBO Max se suma así a la estrategia explotada por Netflix de lanzar documentales sobre artistas contemporáneos que se reciben con éxito entre sus amplios círculos de seguidores, como ha sido el caso reciente de Blackpink, “Light Up the Sky”, sobre uno de los grupos de K-pop que más atención está generando en el mundo.Minaj ostenta el récord de la artista con más canciones que han entrado en la lista Billboard Hot 100, la recolección de éxitos principal de Estados Unidos, con un total de 114 a lo largo de su carrera.Además, esta semana era una de las nominadas a los Latin Grammy por su colaboración con Karol G en “Tusa”, aunque finalmente no se llevó ningún premio.La noticia llegó el mismo día en el que la artista celebra el décimo aniversario de su disco debut, “Pink Friday”.Cada uno de los seis episodios será de media hora de duración, con Minaj como absoluta protagonista “a través de los momentos más desafiantes y satisfactorios de su vida, sus altibajos en su ascenso a la fama y su trayecto hacia la maternidad”, aseguró la compañía.Una publicación compartida de Barbie (@nickiminaj)“Dará una mirada cruda, sin filtros, de mi vida personal y de mi trayectoria profesional. No puedo esperar a compartirla”, dijo la rapera en un vídeo publicado hoy en su Instagram después de que la plataforma de “streaming” confirmara el proyecto.La rapera Nicki Minaj será protagonista de una serie documental de seis episodios que narrará su carrera en el mundo de la música y se emitirá en la plataforma HBO Max.",2020-11-20T18:51:42-05:00,Actualizado el 20/11/2020 a las 18:51 ,https://elcomercio.pe/tvmas/series/nicki-minaj-tendra-una-serie-documental-en-hbo-max-usa-eeuu-estados-unidos-nndc-noticia/
28, Sporting Cristal igualó frente a Universitario y continúa como líder de la tabla acumulada de la Liga 1,Universitario vs. Sporting Cristal EN VIVO ONLINE | Sigue el partido que se disputará en el Estadio Nacional por la jornada 7 de la fase 2 de la Liga 1,"Conforme a los criterios deMartín Távara cumplió su fecha de suspensió y también sería del once inicial. Jorge Cazulo iría al banco de suplentes.Roberto Mosquera podrá contar Renato Solís, Christofer González y Horarcio Calcaterra, convocados a la Selección Peruana por Ricardo Gareca.Por su parte, Sporting Cristal llega motivado. Los celestes ya aseguraron un lugar en la siguiente Copa Libertadores; sin embargo, esperan poder asegurar el primer lugar del acumulado para no tener que disputar una semifinal.La ‘U’ no puede ganar hace cuatro fechas. En su último partido ante la Universidad San Martín cayeron por 3-2,Universitario no podrá contar con Armando Alfageme, Luis Urruti, Alexander Succar e Iván Santillán. Los dos primeros se encuentran aún lesionados, mientras que los otros dos están suspendidos.Los cremas podrán contar para este encuentro con Jonathan Dos Santos, delantero que volverá a los terrenos de juego luego de un mes. El atacante sufrió un desgarro en octubre y, tras recuperarse, podrá ser de la partida.El encuentro podría catapultar a alguno de los dos equipos a una definición única, o dejarlos en una situación complicada de cara al objetivo de fin de año.Estados Unidos: 15:00 PT / Perú MágicoVenezuela: 18:00Bolivia: 18:00Ecuador: 17:00Colombia: 17:00Argentina: 19:00Chile: 19:00 / Perú MágicoMéxico: 16:00Perú: 17:00 / Gol PerúSporting Cristal: Solis; Madrid, Chávez, Merlo, Loyola; Cazulo, Távara, Calcaterra; Marchán, Herrera, Gonzáles.Universitario: Carvallo; Chávez, Morales, Quina, Corzo; Barco, Barreto; Quintero, Millán, Hohberg; Dos Santos.Universitario de Deportes vs. Sporting Cristal EN VIVO y EN DIRECTO se ven las caras por la fecha 7 de la fase 2 de la Liga 1 en el Estadio Nacional. Los dirigidos por Ángel Comizzo esperan lograr una victoria que les permita mantener el primer lugar del acumulado, mientras que los de Roberto Mosquera, quieren asegurar el primer lugar del Grupo A. Sigue el MINUTO A MINUTO.",2020-11-20T18:51:42-05:00,Actualizado el 20/11/2020 a las 18:51 ,https://elcomercio.pe/deporte-total/futbol-peruano/universitario-de-deportes-vs-sporting-cristal-en-vivo-ver-en-directo-transmision-y-narracion-via-gol-peru-stream-live-jornada-7-online-fase-2-liga-1-futbol-peruano-nczd-noticia/
29, Universitario igualó 2-2 frente a Sporting Cristal en el Estadio Nacional por la Liga 1,Universitario vs. Sporting Cristal EN VIVO | Juegan por la jornada 7 de la Fase 2 de la Liga 1 desde el Estadio Nacional de Lima,"Conforme a los criterios deMartín Távara cumplió su fecha de suspensió y también sería del once inicial. Jorge Cazulo iría al banco de suplentes.Roberto Mosquera podrá contar Renato Solís, Christofer González y Horarcio Calcaterra, convocados a la Selección Peruana por Ricardo Gareca.Por su parte, Sporting Cristal llega motivado. Los celestes ya aseguraron un lugar en la siguiente Copa Libertadores; sin embargo, esperan poder asegurar el primer lugar del acumulado para no tener que disputar una semifinal.Los cremas podrán contar para este encuentro con Jonathan Dos Santos, delantero que volverá a los terrenos de juego luego de un mes. El atacante sufrió un desgarro en octubre y, tras recuperarse, podrá ser de la partida.El encuentro podría catapultar a alguno de los dos equipos a una definición única, o dejarlos en una situación complicada de cara al objetivo de fin de año.El grupo de barristas permaneció en los alrededores de Campo Mar por cerca de 15 minutos, haciendo extensivo su apoyo a los dirigidos por Ángel Comizzo, quienes -a la distancia- agradecieron con aplausos el gesto que tuvieron sus seguidores en el predio de la ‘U’.Universitario de Deportes disputará un encuentro desicivo este viernes ante Sporting Cristal por la jornada 7 de la Fase 2 de la Liga 1. Los cremas necesitan ganar para seguir tentando la clasificación directa a la final de los Play Offs. No tienen margen de error.Estados Unidos: 15:00 PT / Perú MágicoVenezuela: 18:00Bolivia: 18:00Ecuador: 17:00Colombia: 17:00Argentina: 19:00Chile: 19:00 / Perú MágicoMéxico: 16:00Perú: 17:00 / Gol PerúSporting Cristal: Solis; Madrid, Chávez, Merlo, Loyola; Cazulo, Távara, Calcaterra; Marchán, Herrera, Gonzáles.Universitario: Carvallo; Chávez, Morales, Quina, Corzo; Barco, Barreto; Quintero, Millán, Hohberg; Dos Santos.Universitario de Deportes vs. Sporting Cristal EN VIVO | Juegan por la jornada 7 de la Fase 2 de la Liga 1 desde el Estadio Nacional de Lima. El duelo está pactado para las 5:00 p.m. (hora peruana) y será transmitido por Gol Perú. Asimismo, El Comercio ofrece la mejor cobertura del evento con videos de los goles, fotos y minuto a minuto.",2020-11-20T18:51:10-05:00,Actualizado el 20/11/2020 a las 18:51 ,https://elcomercio.pe/deporte-total/futbol-peruano/gol-peru-en-vivo-universitario-vs-sporting-cristal-en-vivo-en-internet-sigue-minuto-a-minuto-el-duelo-por-la-fase-2-de-la-liga-1-estadio-nacional-tabla-acumulada-futbol-peruano-noticia/
30, Boca Juniors vs. Lanús: Nicolás Orsini marcó el 1-0 del ‘Granate’ en La Bombonera | VIDEO,El centrodelantero de Lanús abrió el marcador del partido a los 28 minutos del primer tiempo con una sutil definición.,"#JuegaLanús ¡El momento de la definición! ¡Vamos, GRANA! 🇱🇻💪 pic.twitter.com/dD9X392dJXEl conocido como ‘Tanque’ se metió entre los dos centrales del Boca Juniors, conectó el balón con la punta del pie y logró meterlo en portería rival para el primero del partido.El conjunto visitante organizó una gran jugada partiendo desde su campo, tras lograr arrebatarle el balón al Boca e hizo daño por la banda izquierda. Pedro De la Vega realizó un centro en profundidad en dirección a Nicolás Orsini.En un duelo muy intenso en La Bombonera, Lanús dio el primer golpe del partido a los 28 minutos. Aunque sin el dominio del balón, el ‘Granate’ logró generar oportunidades a través del contraataque y en el gol no fue la excepción.Nicolás Orsini dejó su bien firma estampada en el duelo de su equipo, Lanús, contra el Boca Juniors por la cuarta jornada del grupo D de la Copa de la Liga Profesional de Fútbol. El centrodelantero del ‘Granate’ se encargó de abrir el marcador del partido.",2020-11-20T18:46:55-05:00,Actualizado el 20/11/2020 a las 18:48 ,https://elcomercio.pe/deporte-total/boca-juniors-vs-lanus-nicolas-orsini-marco-el-1-0-del-granate-en-la-bombonera-por-la-copa-de-la-liga-profesional-de-argentina-video-noticia/
31," Donald Trump Jr., hijo mayor del presidente de EE.UU., dio positivo al coronavirus","Es el miembro más reciente de la familia presidencial en infectarse con el virus. El mandatario Donald Trump, la primera dama y su hijo Barron ya se recuperaron de la infección","__________________________Conforme a los criterios deEE.UU. es la nación del mundo más afectada por la pandemia con más de 11,8 millones de casos y más de 250.000 fallecidos, según los datos de la Universidad Johns Hopkins. La Casa Blanca anunció este viernes que habrá unos 40 millones de dosis disponibles de la vacuna para la covid-19 en el país hacia finales de este año, gracias a los avances de las farmacéuticas Pfizer y Moderna.Trump minusvaloró intencionadamente al comienzo de la pandemia la importancia de la enfermedad, lo que él mismo ha reconocido, para que no cundiera el pánico entre la población, y se negó a usar mascarilla en público durante varios meses.De este modo, se suma a las docenas de asesores y miembros del círculo cercano de Trump que han sido contagiados por la enfermedad, que afectó al propio presidente a principios de octubre.Donald Jr., de 42 años, es el segundo de los hijos del mandatario en dar positivo por el nuevo coronavirus, después de que el más pequeño, Barron, de 14 años, fuese diagnosticado el mes pasado.“Por ahora es completamente asintomático y está siguiendo todas las instrucciones recomendadas por la covid-19”, agregó.“El resultado positivo de Don se conoció a principios de semana y ha estado en cuarentena en su cabaña desde entonces”, señaló un portavoz del primogénito del presidente en un comunicado.Donald Trump Jr., el hijo mayor del presidente estadounidense, Donald Trump, dio positivo a la covid-19 y se encuentra sin síntomas de la enfermedad, por ahora, en aislamiento.",2020-11-20T18:46:50-05:00,Actualizado el 20/11/2020 a las 18:50 ,https://elcomercio.pe/mundo/eeuu/donald-trump-jr-coronavirus-usa-el-hijo-mayor-del-presidente-de-estados-unidos-donald-trump-dio-positivo-al-covid-19-noticia/
32, Manchester City vs. Tottenham EN VIVO: horarios y canales de TV para ver EN DIRECTO partido por Premier League,"¿Cuándo, a qué hora y cómo ver EN VIVO Manchester City vs. Tottenham por la fecha 9 de la Premier League? Encuentra aquí todos los detalles del partido. ","Conforme a los criterios deLa transmisión online y minuto a minuto del partido Manchester City vs. Tottenham la puedes seguir en esta misma nota de la web de El Comercio.Tres triunfos, tres empates y una derrota colocan al equipo de los ‘citizens’ en la mitad de la clasificación, una posición incómoda para un elenco que cuenta con una gran plantilla de jugadores, un buen entrenador y que cada temporada tiene la obligación de pelear por el título.El Manchester City de Pep Guardiola llega a este encuentro en el puesto 10 de la tabla de posiciones con 12 unidades en su haber, aunque tiene un partido pendiente por disputar.“Somos un equipo mejor y el Manchester City también, han tenido un gasto en el mercado de 150 millones de libras, han tenido un año más de Pep (Guardiola), un año más de sus jugadores trabajando con un fantástico entrenador”, dijo Mourinho en conferencia de prensa.Tottenham, dirigido por Mourinho y segundo en la clasificación con 17 puntos, llega a este encuentro en una buena racha y en la fecha anterior venció a domicilio por 1-0 al Albion, en la que fue su tercera victoria consecutiva. El equipo londinense acumula en ocho fechas de la Premier League cinco triunfos, dos empates y una derrota.Además, podrás seguir las incidencias online del choque a jugarse en el Tottenham Hotspur Stadium en esta misma nota de la web de El Comercio, donde también encontrarás los goles y las mejores jugadas de este gran partido de la Premier League.Manchester City y Tottenham se enfrentan este sábado 21 de noviembre en el que se espera sea un partidazo correspondiente a la fecha 9 de la Premier League de Inglaterra. El encuentro, que pondrá nuevamente cara a cara a Pep Guardiola y Jose Mourinho, dos de los técnicos más importantes del fútbol mundial, comenzará a las 12:30 p.m. (hora peruana / 5:30 p.m. hora de Londres) y será transmitido EN VIVO por el canal ESPN 2.",2020-11-20T18:44:25-05:00,Actualizado el 20/11/2020 a las 18:44 ,https://elcomercio.pe/respuestas/manchester-city-vs-tottenham-en-vivo-fecha-horarios-y-canales-de-tv-para-ver-en-directo-online-partido-por-la-premier-league-pep-guardiola-jose-mourinho-inglaterra-partidos-de-hoy-futbol-en-vivo-revtli-noticia/
33, Cinco congresistas forman nuevo bloque llamado Nueva Constitución,Está conformado por exintegrantes de UPP y Acción Popular. Se suma al bloque Descentralización democrática y a las nueve bancadas que iniciaron el actual periodo.,"“Hemos decidido que el otro punto es la eliminación de la inmunidad parlamentaria. Son esos puntos en los que hemos coincidido y lo vamos a tomar como prioridad como grupo parlamentario, ya dentro de nosotros en el tema regional también tenemos nuestros temas por priorizar”, agregó.“El punto de común es el referéndum, lograr mediante nuestras funciones como congresistas de la República que el presidente pueda convocar a referéndum y consultar a la población respecto a la nueva Constitución. Ese es el tema que tenemos en común y nuestra agenda como grupo parlamentario”, explicó la parlamentaria.En breve diálogo con El Comercio, Bartolo confirmó la creación de este nuevo grupo con cinco miembros, y mencionó que la agenda en la que coincidieron y buscan impulsar en estos ocho meses que quedan de gestión es la convocatoria a un referéndum para una nueva Constitución, así como la eliminación de la inmunidad parlamentaria.Según el oficio dirigido este viernes a Mirtha Vásquez, presidenta del Parlamento, la congresista María Bartolo será quien ejercerá la vocería de la bancada, mientras que Rubén Ramos e Hipólito Chaiña serán los portavoces alternos.Este el onceavo grupo parlamentario que tiene el Congreso, donde recientemente se creó la bancada Descentralización democrática, conformada por exintegrantes de Somos Perú.Minutos antes de las 4:00 p.m., los congresistas María Bartolo, Hipólito Chaiña, Jim Mamani y Rubén Ramos, ex integrantes de Unión por el Perú; así como Orlando Arapa, ex miembro de Acción Popular, oficializaron ante la Presidencia del Congreso la conformación de un nuevo bloque denominado Nueva Constitución.Conforme a los criterios de",2020-11-20T18:40:13-05:00,Actualizado el 20/11/2020 a las 18:40 ,https://elcomercio.pe/politica/congreso/se-crea-la-onceava-bancada-en-el-congreso-y-se-denomina-nueva-constitucion-nczg-noticia/
34, Universitario vs. Sporting Cristal: Percy Liza y el 2-2 con un potente remate dentro del área | VIDEO,"En el duelo por la Liga 1 entre Sporting Cristal vs. Universitario, Percy Liza igualó el marcador con un potente remate dentro del área","Sporting Cristal volvió a conseguir la igualdad frente a Universitario de Deportes en el Estadio Nacional. En el duelo válido por la Fase 2 de la Liga 1, a los 73′, Percy Liza igualó el marcador con un potente remate dentro del área. ",2020-11-20T18:37:37-05:00,Actualizado el 20/11/2020 a las 18:37 ,https://elcomercio.pe/deporte-total/futbol-peruano/universitario-vs-sporting-cristal-percy-liza-y-el-2-2-con-un-potente-remate-dentro-del-area-video-noticia/
35, VMT: reportan incendio de gran magnitud que ha alcanzado 30 viviendas | VIDEO ,"Los vecinos de la zona piden una rápida intervención de los bomberos, debido a que a los alrededores de este descampado hay diversas casas de madera que están a punto de ser alcanzadas por las llamas.","Conforme a los criterios de“Como jefe departamental de Lima, estamos tratando de apoyar a las 24 comandancia de Lima Sur, hemos mandado cisternas, se están quemando aproximadamente 30 viviendas a la altura del estado Micaela Bastidas… Estamos tratando de confinar el fuego para que alcance otras viviendas”, declaró Casaretto para Canal N.En tanto, Mario Casaretto, jefe Territorial de los Bomberos de Lima y Callao, sostuvo que están movilizando más camiones cisternas, debido a que las llamas ha alcanzado a 30 viviendas, aproximadamente.Al lugar han llegado 8 unidades de bomberos que luchan para controlar la emergencia. También, los agentes de la Policía Nacional del Perú (PNP) que están evacuando a las personas de la zona.Los vecinos de la zona piden una rápida intervención de los bomberos, debido a que a los alrededores de este descampado hay diversas casas de madera que están a punto de ser alcanzadas por las llamas.Un incendio de gran magnitud se reporta en este momento en una zona descampada, ubicada en el cruce de las calles Wiracocha con Vizcardo y Guzmán, en el distrito de Villa María del Triunfo (VMT). De acuerdo con el portal de bomberos, esta incidencia se inició cerca de las 5:45 p.m.",2020-11-20T18:34:58-05:00,Actualizado el 20/11/2020 a las 18:37 ,https://elcomercio.pe/lima/sucesos/vmt-reportan-incendio-de-gran-magnitud-que-ha-alcanzado-30-viviendas-video-nndc-noticia/
36, PSG pierde el invicto de ocho partidos sin perder ante el Mónaco de Cesc Fábregas,El español puso el 3-2 de penal a falta de seis minutos y le dio la victoria a los del Principado ante los parisinos en la Ligue 1.,"Fuente: EFECon 24 puntos, el PSG ve cómo se aproxima a cuatro puntos el propio Mónaco, que se pone provisionalmente segundo con 20.La pena máxima la ejecutó con determinación Cesc, imparable para Keylor Navas, para completar una hazaña indudable y la tercera victoria seguida del Mónaco, que sube al segundo puesto de la clasificación, a cuatro puntos nada más del París Saint Germain, aunque éste aún sostiene el liderato.Aún fue peor para el PSG. La culminación del desastre fue el penalti que provocó el 3-2, de Diallo sobre Volland. El delantero le robó la pelota, el defensa le derribó como última opción. Además, fue expulsado.Los dos goles, concentrados en cuarto de hora, del 52 al 67, pusieron en evidencia al París Saint Germain y su defensa. Ya había reaparecido además Neymar sobre el terreno. Recuperado de una lesión muscular entró a la hora de partido.Todo en el primer acto. El segundo fue muy diferente. Con la entrada de Cesc, aparte de la increíble fragilidad defensiva del PSG, el Mónaco reaccionó con rotundidad para desafiar a su rival y un 0-2 en contra, a los que superó por medio de Volland. Suyo fue el 1-2, al aprovechar un rechace. Y suyo fue el 2-2, a pase de Cesc.Una derrota más que imprevisible tal y como venía el PSG, pero aún más tal y como había sido la primera parte del grupo dirigido por Thomas Tuchel y sobre todo el marcador, con un 0-2 a favor que parecía ya una sentencia para su adversario. Los dos tantos los marcó Mbappé, en el 25 y el 37, el segundo de ellos de penalti. Incluso, mediante el VAR, le anularon dos goles por fuera de juego.El París Saint-Germain desaprovechó una ventaja de dos goles y terminó perdiendo 3-2 en su visita al Mónaco, este viernes en la 11ª jornada de la Ligue 1 francesa, donde el equipo de la capital ve debilitarse su liderato.",2020-11-20T18:30:28-05:00,Actualizado el 20/11/2020 a las 18:30 ,https://elcomercio.pe/deporte-total/futbol-mundial/monaco-vs-psg-cesc-fabregas-anota-de-penal-para-el-3-2-y-la-victoria-de-los-del-principado-ligue-1-nczd-noticia/
